time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2016-01-11 09:30:00-05:00,MLTrader,d971e457600b498eac0e726c1ada0bc1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2016-01-11 09:30:00-05:00,MLTrader,d971e457600b498eac0e726c1ada0bc1,SPY,sell,market,fill,1,gtc,0.0,1,stock,193.00999450683594,259.0,0.0
2016-01-14 09:30:00-05:00,MLTrader,5097af745b754bee9c4803507454a24d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2016-01-14 09:30:00-05:00,MLTrader,5097af745b754bee9c4803507454a24d,SPY,sell,market,fill,1,gtc,0.0,1,stock,189.5500030517578,396.0,0.0
2016-02-08 09:30:00-05:00,MLTrader,d83c1e5d12ac446cb01818ca9cf5e222,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTrader,6616a235115446c5b0c3dcda7e40eea5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTrader,bf7640bfaacc4e58b6ae9ccdec5b6b4d,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTrader,83af80fb70ce48de83d98852a65d7beb,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTrader,827fde38c03f4851bba349ce971ea883,SPY,buy,market,new,1,day,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTrader,e0b7db0e4db94465bd83776651873422,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2016-02-08 09:30:00-05:00,MLTrader,827fde38c03f4851bba349ce971ea883,SPY,buy,market,fill,1,day,0.0,1,stock,185.77000427246094,655.0,0.0
2016-02-08 09:30:00-05:00,MLTrader,e0b7db0e4db94465bd83776651873422,SPY,buy,market,fill,1,gtc,0.0,1,stock,185.77000427246094,606.0,0.0
2016-12-07 09:30:00-05:00,MLTrader,2c0cd2b2cde240f8bc71746df131d4ec,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2016-12-07 09:30:00-05:00,MLTrader,72945cd86bae47e1a169d207fb829390,SPY,sell,limit,fill,1,day,0.0,1,stock,222.92400512695312,606.0,0.0
2016-12-15 09:30:00-05:00,MLTrader,c2a13b87d943455c8670c640f451a9d8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2016-12-15 09:30:00-05:00,MLTrader,c2a13b87d943455c8670c640f451a9d8,SPY,buy,market,fill,1,gtc,0.0,1,stock,226.16000366210938,278.0,0.0
2017-01-06 09:30:00-05:00,MLTrader,cb42d0dd3179409bb04a741f66ffd0d3,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2017-01-06 09:30:00-05:00,MLTrader,df97c52c81d64e108d93147861a873aa,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2017-01-06 09:30:00-05:00,MLTrader,154fdd0b0c474a9298bf7824af17fda4,SPY,sell,market,new,1,day,0.0,1,stock,,,
2017-01-06 09:30:00-05:00,MLTrader,ce140b5674324d6a86851e7fe5cc248c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2017-01-06 09:30:00-05:00,MLTrader,154fdd0b0c474a9298bf7824af17fda4,SPY,sell,market,fill,1,day,0.0,1,stock,226.52999877929688,278.0,0.0
2017-01-06 09:30:00-05:00,MLTrader,ce140b5674324d6a86851e7fe5cc248c,SPY,sell,market,fill,1,gtc,0.0,1,stock,226.52999877929688,140.0,0.0
2017-01-09 09:30:00-05:00,MLTrader,589e807301a1482393a2dcd048e5b5a2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2017-01-09 09:30:00-05:00,MLTrader,589e807301a1482393a2dcd048e5b5a2,SPY,sell,market,fill,1,gtc,0.0,1,stock,226.91000366210938,348.0,0.0
2017-03-01 09:30:00-05:00,MLTrader,2dd2a6cc96c0492dad826ca9bdd826f5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2017-03-01 09:30:00-05:00,MLTrader,5a914c72312741cbaeee42935bb576ae,SPY,buy,stop,fill,1,day,0.0,1,stock,238.38999938964844,140.0,0.0
2017-03-01 09:30:00-05:00,MLTrader,4ad5ddafc04849f4b9680ab09adcc11d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2017-03-01 09:30:00-05:00,MLTrader,de48a5b25d2c4852b71029fc6f33619f,SPY,buy,stop,fill,1,day,0.0,1,stock,238.38999938964844,348.0,0.0
2017-03-06 09:30:00-05:00,MLTrader,387d5d9714e54bf3a71ce4331395cd7c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2017-03-06 09:30:00-05:00,MLTrader,387d5d9714e54bf3a71ce4331395cd7c,SPY,buy,market,fill,1,gtc,0.0,1,stock,237.5,254.0,0.0
