time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-22 09:30:00-05:00,MLTrader,0eef6231d66a412bac739944903a6881,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:30:00-05:00,MLTrader,0eef6231d66a412bac739944903a6881,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,106.0,0.0
2023-12-22 09:35:00-05:00,MLTrader,71e4cde787fb44fda511f717eec34cab,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:35:00-05:00,MLTrader,71e4cde787fb44fda511f717eec34cab,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,159.0,0.0
2023-12-22 09:40:00-05:00,MLTrader,fcaffc73dc9f42b4bc09284a5cf598fb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:40:00-05:00,MLTrader,fcaffc73dc9f42b4bc09284a5cf598fb,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,238.0,0.0
2023-12-22 09:45:00-05:00,MLTrader,ed7825dfb9094070b7eec6316833a970,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:45:00-05:00,MLTrader,ed7825dfb9094070b7eec6316833a970,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,357.0,0.0
2023-12-22 09:50:00-05:00,MLTrader,7f930d017b234e1aa350791234b9cd37,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:50:00-05:00,MLTrader,7f930d017b234e1aa350791234b9cd37,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,536.0,0.0
2023-12-22 09:55:00-05:00,MLTrader,5b1fa72247c24173980d885a5c624332,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 09:55:00-05:00,MLTrader,5b1fa72247c24173980d885a5c624332,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,804.0,0.0
2023-12-22 10:00:00-05:00,MLTrader,c2a7f328a3ad4f88b9c09d3a07d59764,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 10:00:00-05:00,MLTrader,c2a7f328a3ad4f88b9c09d3a07d59764,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,1206.0,0.0
2023-12-22 10:05:00-05:00,MLTrader,247aea918577411c948f6e25f0640f21,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 10:05:00-05:00,MLTrader,247aea918577411c948f6e25f0640f21,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,1809.0,0.0
2023-12-22 10:10:00-05:00,MLTrader,59db546066844943a46cdf63308a3e8a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 10:10:00-05:00,MLTrader,59db546066844943a46cdf63308a3e8a,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,2713.0,0.0
2023-12-22 10:15:00-05:00,MLTrader,0ce28dbfcc834c62a300d0ebcdddc507,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 10:15:00-05:00,MLTrader,0ce28dbfcc834c62a300d0ebcdddc507,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,4070.0,0.0
2023-12-22 10:20:00-05:00,MLTrader,7dcd6c797c0c4f4f8c4ee1e340f0c4a1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 10:20:00-05:00,MLTrader,7dcd6c797c0c4f4f8c4ee1e340f0c4a1,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,6105.0,0.0
2023-12-22 10:25:00-05:00,MLTrader,7497058ee46c436884d6ca52657b1809,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 10:25:00-05:00,MLTrader,7497058ee46c436884d6ca52657b1809,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,9157.0,0.0
2023-12-22 10:30:00-05:00,MLTrader,9989d371bf2e4f0a8de35790afda08c4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-22 10:30:00-05:00,MLTrader,9989d371bf2e4f0a8de35790afda08c4,SPY,sell,market,fill,1,gtc,0.0,1,stock,473.8599853515625,13736.0,0.0
