time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-03 09:30:00-05:00,MLTrader,98bd2e8e3c064ec984144315c7359049,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,98bd2e8e3c064ec984144315c7359049,SPY,sell,market,fill,1,gtc,0.0,1,stock,476.29998779296875,105.0,0.0
2022-01-14 09:30:00-05:00,MLTrader,9fa5ae8e8bde467ba28886ca0441e697,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-14 09:30:00-05:00,MLTrader,9fa5ae8e8bde467ba28886ca0441e697,SPY,sell,market,fill,1,gtc,0.0,1,stock,461.19000244140625,163.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,e09a68cca5c149e2a9a5259efa7a96f4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,e09a68cca5c149e2a9a5259efa7a96f4,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,253.0,0.0
2022-02-18 09:30:00-05:00,MLTrader,815effbaddef4e519ec0281d5100c399,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-18 09:30:00-05:00,MLTrader,815effbaddef4e519ec0281d5100c399,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.3299865722656,386.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,7ecf4e8f554545c1976689a15ac51a57,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,7ecf4e8f554545c1976689a15ac51a57,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,587.0,0.0
2022-03-14 09:30:00-04:00,MLTrader,345ad72f0a0c4a6c80120f18d68b23ea,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-14 09:30:00-04:00,MLTrader,345ad72f0a0c4a6c80120f18d68b23ea,SPY,sell,market,fill,1,gtc,0.0,1,stock,419.7699890136719,905.0,0.0
2022-03-16 09:30:00-04:00,MLTrader,6640b22376fe4af8acda9706b07c55ff,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-16 09:30:00-04:00,MLTrader,1cd71dc9e9b9483486a7a741f7f5b4bd,SPY,buy,stop,fill,1,day,0.0,1,stock,440.7584884643555,905.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,023d02e5bfa84a8e9ee7c685c8edb117,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,023d02e5bfa84a8e9ee7c685c8edb117,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,846.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,3e0c64083f0c4165abb35113df92d365,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,3e0c64083f0c4165abb35113df92d365,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,1232.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,58308904cd544ca0ac5373e5db9ae210,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,476b6b5e35a840b09df09ad9dcb454f3,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,386.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,8c31d10714164a438ff77a05b2ce3cea,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,5677414a06a44a93b1993d2066151731,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,587.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,4fca36ca06134658b8c98708cd50c266,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,a8748a86fe294a00add9d701fe9d1051,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,846.0,0.0
2022-04-19 09:30:00-04:00,MLTrader,f140a171f2914fe791e80dd00ff6575e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-19 09:30:00-04:00,MLTrader,f140a171f2914fe791e80dd00ff6575e,SPY,sell,market,fill,1,gtc,0.0,1,stock,446.9200134277344,929.0,0.0
2022-04-21 09:30:00-04:00,MLTrader,47fe79ea54c34aedacf582c35be15ba2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-21 09:30:00-04:00,MLTrader,47fe79ea54c34aedacf582c35be15ba2,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,1426.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,e15592d513f045628ec2d2b23aa5590c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,e15592d513f045628ec2d2b23aa5590c,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,2139.0,0.0
2022-04-26 09:30:00-04:00,MLTrader,79f1773252a740de98b83f488d87e7ab,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-26 09:30:00-04:00,MLTrader,79f1773252a740de98b83f488d87e7ab,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,3360.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,37fd64156acf48f69f215ed07033ded0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,37fd64156acf48f69f215ed07033ded0,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,4979.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,0b4ac291a2764fa691b6ae3c3cf66427,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,0b4ac291a2764fa691b6ae3c3cf66427,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,7446.0,0.0
2022-04-29 09:30:00-04:00,MLTrader,a2e62648a3c84bfe9758f57317f4b2dd,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,2f2d3924a9e047dd8a11ac70eb9058c4,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
